storeid,state,type,associates_poh_pre,open_time_pre,open_time_post,close_time_pre,close_time_post,hours_open_pre,associates_poh_post,hours_open_post,Predicted avg_post,avg_pre,avg_post,population_within_5,competition_within_5,12_14_2014,12_21_2014,12_28_2014,1_4_2015,1_11_2015,1_18_2015,1_25_2015,2_1_2015,2_8_2015,2_15_2015,2_22_2015,3_1_2015,3_8_2015,3_15_2015,3_22_2015,3_29_2015,4_5_2015,4_12_2015,4_19_2015,4_26_2015,5_3_2015,5_10_2015,5_17_2015,5_24_2015,5_31_2015,6_7_2015,6_14_2015,6_21_2015,6_28_2015,7_5_2015,7_12_2015,7_19_2015,7_26_2015,8_2_2015,8_9_2015,8_16_2015,8_23_2015,8_30_2015,9_6_2015,9_13_2015,9_20_2015,9_27_2015,10_4_2015,10_11_2015,10_18_2015,10_25_2015,11_1_2015,11_8_2015,11_15_2015,11_22_2015,11_29_2015,12_6_2015,12_13_2015,12_20_2015,12_27_2015,1_3_2016,1_10_2016,1_17_2016,1_24_2016,1_31_2016,2_7_2016,2_14_2016,2_21_2016,2_28_2016,3_6_2016,3_13_2016,3_20_2016,3_27_2016,4_3_2016,4_10_2016,4_17_2016,4_24_2016,5_1_2016,5_8_2016,5_15_2016,5_22_2016,5_29_2016,6_5_2016,6_12_2016,6_19_2016,6_26_2016,7_3_2016,7_10_2016,7_17_2016,7_24_2016,7_31_2016,8_7_2016,8_14_2016,8_21_2016,8_28_2016,9_4_2016,9_11_2016,9_18_2016,9_25_2016,10_2_2016,10_9_2016,10_16_2016,10_23_2016,10_30_2016,11_6_2016,11_13_2016,11_20_2016,11_27_2016,12_4_2016,12_11_2016,12_18_2016,12_25_2016,1_1_2017,1_8_2017,1_15_2017,1_22_2017,1_29_2017,2_5_2017,2_12_2017,2_19_2017,2_26_2017,3_5_2017,3_12_2017,3_19_2017,3_26_2017,4_2_2017,change,Desirability
1,OK,Standalone,24,7,7,21,24,14,24,12,106507.99192,76109.53846,112520,137,29,63640,78740,38360,67920,49540,93660,48320,81280,54660,49020,78120,84940,80800,47080,59760,49360,72560,67640,67020,64740,64780,81640,90560,40480,65860,90300,81120,72700,69780,73540,64680,85900,72400,88400,94200,62000,87580,72260,85580,67400,68000,54860,70780,54500,57060,89180,111340,67140,95240,150620,119240,110820,43340,82440,76360,98940,75040,96380,98120,58980,77940,86720,104000,99960,91800,87780,85580,80980,82000,90120,73540,65220,94420,54720,90620,80000,68480,69960,91580,92740,96700,99240,82240,101060,96040,83660,102380,72260,81640,73220,82000,63800,149440,123120,124540,112960,134160,151280,173000,113760,155720,229440,178560,148420,131660,106140,140840,154800,143380,141360,132720,121900,154520,126480,134220,141260,130600,128680,126880,121660,127640,-33720,0.167201934
2,PA,Strip Mall,24,7,7,21,21,14,24,12,127209.36599,100740.6154,144341.4286,8,0,55980,81220,54660,85440,66140,112560,89860,73300,89080,77860,83840,124160,83420,84820,112160,81540,71040,100560,77040,68600,102500,91880,106400,94900,66560,116380,67100,67360,103980,92960,99300,78260,77340,125200,79480,108620,121600,98920,126600,130800,126040,126420,107820,75500,92340,135660,172860,93900,125560,202060,156160,132280,108000,119180,89260,99600,115760,116480,83000,118080,77820,87820,111360,137960,107800,100160,135220,80160,86560,89840,90440,130960,113580,78480,108040,78660,75280,121020,118880,117960,133020,124280,92040,81780,125320,107540,148020,117320,96520,144000,102520,118700,142100,157740,199240,200060,186480,168920,245920,201520,210600,198840,213800,217860,150240,151200,183260,153620,188040,177780,146760,146480,193220,163800,164420,156180,172900,153360,176660,186780,159040,1400,0.247708356
3,RI,Standalone,24,7,7,21,21,14,24,14,155760.17614,112087.3846,147763.2143,256,31,79920,91600,99960,124340,75980,132280,102400,69200,95420,103820,106640,78420,117180,71980,78880,124680,76120,144320,102240,84960,104380,124060,123220,110680,108480,144660,96500,91580,119440,101940,109840,117880,101640,79360,137780,94140,104240,80620,109260,121500,113800,132980,90180,87860,128020,148840,180320,92380,151220,208700,199900,130500,83800,122220,74660,138620,103440,135920,110400,114560,98980,126800,117920,113900,138220,89140,101620,91980,108640,112500,96060,110820,131640,94480,105900,115320,78680,105600,114560,90060,112820,84400,96460,143520,135420,139880,98980,104360,148820,93480,148640,97760,198140,185460,201400,143520,169660,187220,198700,162520,190380,229020,292460,251560,144920,195140,163380,144700,153380,199260,178680,143780,180560,143060,148800,217120,169380,196420,204260,180980,149340,-45200,0.220314734
4,MO,Standalone,24,7,7,21,21,14,24,14,116697.9256,78656.30769,120701.4286,278,102,53080,54100,45180,85040,81560,84800,76840,89360,46200,66240,78140,64460,64220,50380,71320,84280,56300,101420,45360,51600,82360,82120,84620,53400,49220,59300,88960,76660,54160,69380,50060,62720,94920,99440,85840,83660,53080,85460,98500,105720,100360,62000,105780,78260,89940,112820,90480,95320,74860,149180,164980,109380,47880,95980,67440,98780,53200,98780,94940,55940,73960,75880,89440,88720,68900,74760,67920,93320,80920,71400,73320,91000,54400,77420,74020,93320,70180,77360,74580,70020,69120,68860,90640,82740,106620,93340,100760,66760,99800,78760,97580,90840,140900,159560,130900,139700,153140,134660,154080,146220,161580,233220,246820,204320,131660,114840,150920,166980,151220,175340,113420,124560,150400,157860,158540,176320,139900,157700,168920,164860,160980,-13840,0.17424716
5,KS,Strip Mall,24,7,7,21,21,14,24,14,208480.63705,158649.8462,218365.3571,24,3,106260,112780,101640,172920,155400,186720,151580,111380,119000,161280,193880,123740,127200,177900,121460,140060,112960,176840,142140,191520,158600,185880,142640,166660,174980,188160,171500,130680,133560,139900,137980,168280,177280,197380,144140,202140,131680,143900,138660,153200,127740,184280,136000,131620,201900,182160,241160,132180,204740,215880,220100,212840,167700,173100,124320,132520,136040,197760,143460,137660,204500,146980,139240,206920,137580,203820,133420,198180,206300,166660,164100,197160,162140,138160,158760,177880,162980,180100,207760,179240,156880,198560,189480,203060,162480,164780,157300,220620,215180,159040,212780,170560,209120,210320,267940,248480,294740,216520,355780,226040,254500,286140,414380,294880,197620,222880,198900,245420,197280,304620,194640,279780,232600,223520,287100,299360,279680,211440,217340,228200,281860,50700,0.45005859
6,TX,Standalone,24,7,7,21,19,14,24,12,336205.4416,287829.5385,323687.1429,78,3,219140,211580,260660,206160,195060,281120,283240,282260,208480,281760,279700,300020,197660,244800,245160,246560,227600,359280,277960,314000,236680,286360,275760,194780,244020,353240,266860,240580,214980,279160,293100,247680,305420,230600,324780,332440,263520,260380,265340,279460,269060,260180,301140,354260,339480,341740,480060,361600,290900,519900,382380,415120,284140,253100,203400,333960,310320,355300,271620,342660,326760,331220,260780,369900,232600,282000,221500,307940,271880,356600,315520,265640,222200,282700,324500,263520,288460,367960,330760,238400,248180,232540,341900,293360,228660,297800,253540,268540,286360,236180,244260,350640,308060,353940,336980,348560,358040,348500,478160,364400,404940,442680,441420,474340,342760,392340,354680,364060,300260,378760,274860,301640,316980,309080,330500,414560,355100,395180,326740,330900,356520,47140,0.604546094
7,NM,Standalone,24,7,7,21,19,14,24,12,354944.09092,307974.4615,336837.5,8,15,286420,239940,228340,277160,208740,353480,320700,282320,227560,241800,312760,238300,266600,240680,250580,276340,237020,376220,314800,307160,225900,319240,313500,311520,311920,338900,301100,224020,260540,274540,342120,321820,245440,246900,318420,257700,346840,342880,366460,333360,236820,292360,353940,337880,336480,295300,449060,331240,302860,538640,577620,371800,285480,298120,248240,310220,343440,339380,364300,326080,352420,320020,253880,396860,265860,299180,289040,306760,286980,271680,334180,343380,308740,319260,340780,213300,216780,345300,283960,327400,333620,268280,297100,297200,243700,349640,331060,331040,359040,228780,323800,315040,374100,381500,384100,354480,365460,437920,476720,366040,318940,526680,503920,462720,332180,275100,342400,354240,349580,338600,364120,306920,360100,297280,315880,341060,345840,377240,345620,298260,400880,-25920,0.594765521
8,WI,Standalone,24,7,7,21,21,14,24,14,374029.54365,305660.9231,376363.9286,43,7,280140,214960,241340,254500,245240,305120,226280,233920,334260,256180,318280,280740,250240,227860,339140,279120,310720,374440,216880,302680,290840,240780,336700,257200,314360,314000,292140,265020,301440,259060,321020,339940,232940,329340,326480,315500,252560,319300,359060,237240,238000,350640,287860,347900,278640,350220,504580,306560,353760,401900,520300,357760,217400,332080,254260,361540,293060,294160,355060,318100,366620,335200,380280,368480,296640,374560,365620,307620,292820,374320,302700,298240,305760,246420,365440,340320,282200,263740,318460,252920,243380,363540,370400,362100,325820,289120,358440,325260,256900,380080,375620,348320,352520,456660,461040,465340,407860,344020,555160,379660,468580,523260,541020,400700,402880,407040,377720,474440,434840,525220,436500,352900,462260,361180,472040,351940,428460,397180,428380,328620,388840,-22380,0.564527917
9,MO,Strip Mall,24,7,7,21,20,14,26,13,343744.24348,284695.6923,355859.4643,209,76,211360,219880,289240,281040,217320,273980,277860,279200,311740,232680,265100,320700,222880,321530,274250,321210,315890,323650,220730,253450,233510,197590,311470,238210,221590,250430,237210,244170,261590,267710,295550,211810,222470,310430,311410,337390,234490,253590,290130,291450,257470,225510,287170,236350,335950,364090,384070,284330,402950,400090,513410,350450,238730,289190,229990,232590,270850,306430,340750,271550,357370,314330,312250,334070,309390,258030,234090,229210,297750,356410,334710,277250,277370,261530,359430,290850,279170,312130,241850,266050,227530,307590,302930,355850,373370,381330,309790,321190,365310,350950,257490,371670,398520,310460,305620,441540,442640,473180,528700,430860,357880,541120,511660,470600,399820,386600,272560,389280,335120,462700,399720,350560,358720,316100,423600,425360,368740,397600,425460,419260,383320,98650,0.79046907
10,KS,Strip Mall,24,7,7,21,21,14,24,14,262156.49824,206299.6923,259516.7857,242,38,164600,144900,125840,147320,206380,217520,225880,193160,169080,204120,178400,225300,210640,149780,152120,231960,231280,161880,171960,176060,200480,216540,240780,152320,189920,220320,195840,197120,155500,215900,189640,194980,212400,230340,189700,163300,228160,178220,197280,241000,208580,165920,162940,220080,190700,287640,303340,223960,237360,280620,327620,249920,203860,237240,143620,209220,229280,253040,212740,231000,188580,246420,205260,232880,259740,236520,196180,228720,190800,267980,173320,190300,182260,155640,203480,163100,234300,284780,201220,202800,205280,255760,264060,183260,177140,264160,210080,239580,247660,267500,281000,204300,279380,225020,272800,323120,313020,316620,370560,254860,267960,388520,475540,388120,206340,249660,218280,274840,247240,358960,326660,292440,302260,316860,312720,252600,259800,283360,238240,309240,296740,-60860,0.387826123
