storeid,12_14_2014,12_21_2014,12_28_2014,1_4_2015,1_11_2015,1_18_2015,1_25_2015,2_1_2015,2_8_2015,2_15_2015,2_22_2015,3_1_2015,3_8_2015,3_15_2015,3_22_2015,3_29_2015,4_5_2015,4_12_2015,4_19_2015,4_26_2015,5_3_2015,5_10_2015,5_17_2015,5_24_2015,5_31_2015,6_7_2015,6_14_2015,6_21_2015,6_28_2015,7_5_2015,7_12_2015,7_19_2015,7_26_2015,8_2_2015,8_9_2015,8_16_2015,8_23_2015,8_30_2015,9_6_2015,9_13_2015,9_20_2015,9_27_2015,10_4_2015,10_11_2015,10_18_2015,10_25_2015,11_1_2015,11_8_2015,11_15_2015,11_22_2015,11_29_2015,12_6_2015,12_13_2015,12_20_2015,12_27_2015,1_3_2016,1_10_2016,1_17_2016,1_24_2016,1_31_2016,2_7_2016,2_14_2016,2_21_2016,2_28_2016,3_6_2016,3_13_2016,3_20_2016,3_27_2016,4_3_2016,4_10_2016,4_17_2016,4_24_2016,5_1_2016,5_8_2016,5_15_2016,5_22_2016,5_29_2016,6_5_2016,6_12_2016,6_19_2016,6_26_2016,7_3_2016,7_10_2016,7_17_2016,7_24_2016,7_31_2016,8_7_2016,8_14_2016,8_21_2016,8_28_2016,9_4_2016,9_11_2016,9_18_2016,9_25_2016,10_2_2016,10_9_2016,10_16_2016,10_23_2016,10_30_2016,11_6_2016,11_13_2016,11_20_2016,11_27_2016,12_4_2016,12_11_2016,12_18_2016,12_25_2016,1_1_2017,1_8_2017,1_15_2017,1_22_2017,1_29_2017,2_5_2017,2_12_2017,2_19_2017,2_26_2017,3_5_2017,3_12_2017,3_19_2017,3_26_2017,4_2_2017,avg_pre,avg_post
1,111660,126760,86380,115940,97560,141680,96340,129300,102680,97040,126140,132960,128820,95100,107780,97380,120580,115660,115040,112760,112800,129660,138580,88500,113880,138320,129140,120720,117800,121560,112700,133920,120420,136420,142220,110020,135600,120280,133600,115420,116020,102880,118800,102520,105080,137200,159360,115160,143260,198640,167260,158840,91360,130460,124380,146960,123060,144400,146140,107000,125960,134740,152020,147980,139820,135800,133600,129000,130020,138140,121560,113240,142440,102740,138640,128020,116500,117980,139600,140760,144720,147260,130260,149080,144060,131680,150400,120280,129660,121240,130020,111820,149440,123120,124540,112960,134160,151280,173000,113760,155720,229440,178560,148420,131660,106140,140840,154800,143380,141360,132720,121900,154520,126480,134220,141260,130600,128680,126880,121660,127640,117528,105210
2,104000,129240,102680,133460,114160,160580,137880,121320,137100,125880,131860,172180,131440,132840,160180,129560,119060,148580,125060,116620,150520,139900,154420,142920,114580,164400,115120,115380,152000,140980,147320,126280,125360,173220,127500,156640,169620,146940,174620,178820,174060,174440,155840,123520,140360,183680,220880,141920,173580,250080,204180,180300,156020,167200,137280,147620,163780,164500,131020,166100,125840,135840,159380,185980,155820,148180,183240,128180,134580,137860,138460,178980,161600,126500,156060,126680,123300,169040,166900,165980,181040,172300,140060,129800,173340,155560,196040,165340,144540,192020,150540,166720,142100,157740,199240,200060,186480,168920,245920,201520,210600,198840,213800,217860,150240,151200,183260,153620,188040,177780,146760,146480,193220,163800,164420,156180,172900,153360,176660,186780,159040,139692,135410
3,127940,139620,147980,172360,124000,180300,150420,117220,143440,151840,154660,126440,165200,120000,126900,172700,124140,192340,150260,132980,152400,172080,171240,158700,156500,192680,144520,139600,167460,149960,157860,165900,149660,127380,185800,142160,152260,128640,157280,169520,161820,181000,138200,135880,176040,196860,228340,140400,199240,256720,247920,178520,131820,170240,122680,186640,151460,183940,158420,162580,147000,174820,165940,161920,186240,137160,149640,140000,156660,160520,144080,158840,179660,142500,153920,163340,126700,153620,162580,138080,160840,132420,144480,191540,183440,187900,147000,152380,196840,141500,196660,145780,198140,185460,201400,143520,169660,187220,198700,162520,190380,229020,292460,251560,144920,195140,163380,144700,153380,199260,178680,143780,180560,143060,148800,217120,169380,196420,204260,180980,149340,148316,135935
4,101100,102120,93200,133060,129580,132820,124860,137380,94220,114260,126160,112480,112240,98400,119340,132300,104320,149440,93380,99620,130380,130140,132640,101420,97240,107320,136980,124680,102180,117400,98080,110740,142940,147460,133860,131680,101100,133480,146520,153740,148380,110020,153800,126280,137960,160840,138500,143340,122880,197200,213000,157400,95900,144000,115460,146800,101220,146800,142960,103960,121980,123900,137460,136740,116920,122780,115940,141340,128940,119420,121340,139020,102420,125440,122040,141340,118200,125380,122600,118040,117140,116880,138660,130760,154640,141360,148780,114780,147820,126780,145600,138860,140900,159560,130900,139700,153140,134660,154080,146220,161580,233220,246820,204320,131660,114840,150920,166980,151220,175340,113420,124560,150400,157860,158540,176320,139900,157700,168920,164860,160980,111872,113590
5,154280,160800,149660,220940,203420,234740,199600,159400,167020,209300,241900,171760,175220,225920,169480,188080,160980,224860,190160,239540,206620,233900,190660,214680,223000,236180,219520,178700,181580,187920,186000,216300,225300,245400,192160,250160,179700,191920,186680,201220,175760,232300,184020,179640,249920,230180,289180,180200,252760,263900,268120,260860,215720,221120,172340,180540,184060,245780,191480,185680,252520,195000,187260,254940,185600,251840,181440,246200,254320,214680,212120,245180,210160,186180,206780,225900,211000,228120,255780,227260,204900,246580,237500,251080,210500,212800,205320,268640,263200,207060,260800,218580,209120,210320,267940,248480,294740,216520,355780,226040,254500,286140,414380,294880,197620,222880,198900,245420,197280,304620,194640,279780,232600,223520,287100,299360,279680,211440,217340,228200,281860,193040,186115
6,267160,259600,308680,254180,243080,329140,331260,330280,256500,329780,327720,348040,245680,285960,286320,287720,268760,400440,319120,355160,277840,327520,316920,235940,285180,394400,308020,281740,256140,320320,334260,288840,346580,271760,365940,373600,304680,301540,306500,320620,310220,301340,342300,395420,380640,382900,521220,402760,332060,561060,423540,456280,325300,294260,244560,375120,351480,396460,312780,383820,367920,372380,301940,411060,273760,323160,262660,349100,313040,397760,356680,306800,263360,323860,365660,304680,329620,409120,371920,279560,289340,273700,383060,334520,269820,338960,294700,309700,327520,277340,285420,391800,308060,353940,336980,348560,358040,348500,478160,364400,404940,442680,441420,474340,342760,392340,354680,364060,300260,378760,274860,301640,316980,309080,330500,414560,355100,395180,326740,330900,356520,301544,282190
7,334440,287960,276360,325180,256760,401500,368720,330340,275580,289820,360780,286320,314620,281840,291740,317500,278180,417380,355960,348320,267060,360400,354660,352680,353080,380060,342260,265180,301700,315700,383280,362980,286600,288060,359580,298860,388000,384040,407620,374520,277980,333520,395100,379040,377640,336460,490220,372400,344020,579800,618780,412960,326640,339280,289400,351380,384600,380540,405460,367240,393580,361180,295040,438020,307020,340340,330200,347920,328140,312840,375340,384540,349900,360420,381940,254460,257940,386460,325120,368560,374780,309440,338260,338360,284860,390800,372220,372200,400200,269940,364960,356200,374100,381500,384100,354480,365460,437920,476720,366040,318940,526680,503920,462720,332180,275100,342400,354240,349580,338600,364120,306920,360100,297280,315880,341060,345840,377240,345620,298260,400880,305424,292315
8,328160,262980,289360,302520,293260,353140,274300,281940,382280,304200,366300,328760,298260,275880,387160,327140,358740,422460,264900,350700,338860,288800,384720,305220,362380,362020,340160,313040,349460,307080,369040,387960,280960,377360,374500,363520,300580,367320,407080,285260,286020,398660,335880,395920,326660,398240,552600,354580,401780,449920,568320,405780,265420,380100,302280,409560,341080,342180,403080,366120,414640,383220,428300,416500,344660,422580,413640,355640,340840,422340,350720,346260,353780,294440,413460,388340,330220,311760,366480,300940,291400,411560,418420,410120,373840,337140,406460,373280,304920,428100,423640,396340,352520,456660,461040,465340,407860,344020,555160,379660,468580,523260,541020,400700,402880,407040,377720,474440,434840,525220,436500,352900,462260,361180,472040,351940,428460,397180,428380,328620,388840,335960,337230
9,259380,267900,337260,329060,265340,322000,325880,327220,359760,280700,313120,368720,270900,367940,320660,367620,362300,370060,267140,299860,279920,244000,357880,284620,268000,296840,283620,290580,308000,314120,341960,258220,268880,356840,357820,383800,280900,300000,336540,337860,303880,271920,333580,282760,382360,410500,430480,330740,449360,446500,559820,396860,285140,335600,276400,279000,317260,352840,387160,317960,403780,360740,358660,380480,355800,304440,280500,275620,344160,402820,381120,323660,323780,307940,405840,337260,325580,358540,288260,312460,273940,354000,349340,402260,419780,427740,356200,367600,411720,397360,303900,418080,398520,310460,305620,441540,442640,473180,528700,430860,357880,541120,511660,470600,399820,386600,272560,389280,335120,462700,399720,350560,358720,316100,423600,425360,368740,397600,425460,419260,383320,318640,354630
10,212620,192920,173860,195340,254400,265540,273900,241180,217100,252140,226420,273320,258660,197800,200140,279980,279300,209900,219980,224080,248500,264560,288800,200340,237940,268340,243860,245140,203520,263920,237660,243000,260420,278360,237720,211320,276180,226240,245300,289020,256600,213940,210960,268100,238720,335660,351360,271980,285380,328640,375640,297940,251880,285260,191640,257240,277300,301060,260760,279020,236600,294440,253280,280900,307760,284540,244200,276740,238820,316000,221340,238320,230280,203660,251500,211120,282320,332800,249240,250820,253300,303780,312080,231280,225160,312180,258100,287600,295680,315520,329020,252320,279380,225020,272800,323120,313020,316620,370560,254860,267960,388520,475540,388120,206340,249660,218280,274840,247240,358960,326660,292440,302260,316860,312720,252600,259800,283360,238240,309240,296740,245528,239305
