,storeid,state,type,type_dummy,associates_poh_pre,associates_poh_post,open_time_pre,population_post_dummy,competition_dummy,hours_open_post_dummy,associates_poh_post_dummy,open_time_post,close_time_pre,close_time_post,hours_open_pre,hours_open_post,population_within_5,competition_within_5,12_14_2014,12_21_2014,12_28_2014,1_4_2015,1_11_2015,1_18_2015,1_25_2015,2_1_2015,2_8_2015,2_15_2015,2_22_2015,3_1_2015,3_8_2015,3_15_2015,3_22_2015,3_29_2015,4_5_2015,4_12_2015,4_19_2015,4_26_2015,5_3_2015,5_10_2015,5_17_2015,5_24_2015,5_31_2015,6_7_2015,6_14_2015,6_21_2015,6_28_2015,7_5_2015,7_12_2015,7_19_2015,7_26_2015,8_2_2015,8_9_2015,8_16_2015,8_23_2015,8_30_2015,9_6_2015,9_13_2015,9_20_2015,9_27_2015,10_4_2015,10_11_2015,10_18_2015,10_25_2015,11_1_2015,11_8_2015,11_15_2015,11_22_2015,11_29_2015,12_6_2015,12_13_2015,12_20_2015,12_27_2015,1_3_2016,1_10_2016,1_17_2016,1_24_2016,1_31_2016,2_7_2016,2_14_2016,2_21_2016,2_28_2016,3_6_2016,3_13_2016,3_20_2016,3_27_2016,4_3_2016,4_10_2016,4_17_2016,4_24_2016,5_1_2016,5_8_2016,5_15_2016,5_22_2016,5_29_2016,6_5_2016,6_12_2016,6_19_2016,6_26_2016,7_3_2016,7_10_2016,7_17_2016,7_24_2016,7_31_2016,8_7_2016,8_14_2016,8_21_2016,8_28_2016,9_4_2016,9_11_2016,9_18_2016,9_25_2016,10_2_2016,10_9_2016,10_16_2016,10_23_2016,10_30_2016,11_6_2016,11_13_2016,11_20_2016,11_27_2016,12_4_2016,12_11_2016,12_18_2016,12_25_2016,1_1_2017,1_8_2017,1_15_2017,1_22_2017,1_29_2017,2_5_2017,2_12_2017,2_19_2017,2_26_2017,3_5_2017,3_12_2017,3_19_2017,3_26_2017,4_2_2017,avg_pre,avg_post,24_12,24_13,24_14,26_12,26_13,26_14,28_12,28_13,28_14
0,1,OK,Standalone,1,24,24,7,137,29,14,24,7,21,21,14,14,137,29,5583,6338,4319,5797,4878,7084,4817,6465,5134,4852,6307,6648,6441,4755,5389,4869,6029,5783,5752,5638,5640,6483,6929,4425,5694,6916,6457,6036,5890,6078,5635,6696,6021,6821,7111,5501,6780,6014,6680,5771,5801,5144,5940,5126,5254,6860,7968,5758,7163,9932,8363,7942,4568,6523,6219,7348,6153,7220,7307,5350,6298,6737,7601,7399,6991,6790,6680,6450,6501,6907,6078,5662,7122,5137,6932,6401,5825,5899,6980,7038,7236,7363,6513,7454,7203,6584,7520,6014,6483,6062,6501,5591,7472,6156,6227,5648,6708,7564,8650,5688,7786,11472,8928,7421,6583,5307,7042,7740,7169,7068,6636,6095,7726,6324,6711,7063,6530,6434,6344,6083,6382,6206.476922999999,6783.625,6930.38156570405,7304.086352304052,7677.791138904051,7091.3976420280505,7465.10242862805,7838.807215228051,7252.413718352049,7626.118504952052,7999.823291552051
1,2,PA,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,8,0,5200,6462,5134,6673,5708,8029,6894,6066,6855,6294,6593,8609,6572,6642,8009,6478,5953,7429,6253,5831,7526,6995,7721,7146,5729,8220,5756,5769,7600,7049,7366,6314,6268,8661,6375,7832,8481,7347,8731,8941,8703,8722,7792,6176,7018,9184,11044,7096,8679,12504,10209,9015,7801,8360,6864,7381,8189,8225,6551,8305,6292,6792,7969,9299,7791,7409,9162,6409,6729,6893,6923,8949,8080,6325,7803,6334,6165,8452,8345,8299,9052,8615,7003,6490,8667,7778,9802,8267,7227,9601,7527,8336,7105,7887,9962,10003,9324,8446,12296,10076,10530,9942,10690,10893,7512,7560,9163,7681,9402,8889,7338,7324,9661,8190,8221,7809,8645,7668,8833,9339,7952,7438.030769,8374.696429000001,8694.80859104395,9068.513377643949,9442.218164243948,8855.824667367948,9229.529453967949,9603.23424056795,9016.840743691948,9390.545530291949,9764.250316891948
2,3,RI,Standalone,1,24,24,7,256,31,14,24,7,21,21,14,14,256,31,6397,6981,7399,8618,6200,9015,7521,5861,7172,7592,7733,6322,8260,6000,6345,8635,6207,9617,7513,6649,7620,8604,8562,7935,7825,9634,7226,6980,8373,7498,7893,8295,7483,6369,9290,7108,7613,6432,7864,8476,8091,9050,6910,6794,8802,9843,11417,7020,9962,12836,12396,8926,6591,8512,6134,9332,7573,9197,7921,8129,7350,8741,8297,8096,9312,6858,7482,7000,7833,8026,7204,7942,8983,7125,7696,8167,6335,7681,8129,6904,8042,6621,7224,9577,9172,9395,7350,7619,9842,7075,9833,7289,9907,9273,10070,7176,8483,9361,9935,8126,9519,11451,14623,12578,7246,9757,8169,7235,7669,9963,8934,7189,9028,7153,7440,10856,8469,9821,10213,9049,7467,8005.369231000001,8545.785714,8882.235480870037,9255.940267470038,9629.645054070037,9043.251557194037,9416.956343794036,9790.661130394035,9204.267633518035,9577.972420118038,9951.677206718037
3,4,MO,Standalone,1,24,24,7,278,102,14,24,7,21,21,14,14,278,102,5055,5106,4660,6653,6479,6641,6243,6869,4711,5713,6308,5624,5612,4920,5967,6615,5216,7472,4669,4981,6519,6507,6632,5071,4862,5366,6849,6234,5109,5870,4904,5537,7147,7373,6693,6584,5055,6674,7326,7687,7419,5501,7690,6314,6898,8042,6925,7167,6144,9860,10650,7870,4795,7200,5773,7340,5061,7340,7148,5198,6099,6195,6873,6837,5846,6139,5797,7067,6447,5971,6067,6951,5121,6272,6102,7067,5910,6269,6130,5902,5857,5844,6933,6538,7732,7068,7439,5739,7391,6339,7280,6943,7045,7978,6545,6985,7657,6733,7704,7311,8079,11661,12341,10216,6583,5742,7546,8349,7561,8767,5671,6228,7520,7893,7927,8816,6995,7885,8446,8243,8049,6333.815385,7192.6964290000005,7378.591562416148,7752.296349016147,8126.0011356161485,7539.607638740148,7913.312425340149,8287.017211940149,7700.623715064148,8074.328501664148,8448.033288264147
4,5,KS,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,24,3,7714,8040,7483,11047,10171,11737,9980,7970,8351,10465,12095,8588,8761,11296,8474,9404,8049,11243,9508,11977,10331,11695,9533,10734,11150,11809,10976,8935,9079,9396,9300,10815,11265,12270,9608,12508,8985,9596,9334,10061,8788,11615,9201,8982,12496,11509,14459,9010,12638,13195,13406,13043,10786,11056,8617,9027,9203,12289,9574,9284,12626,9750,9363,12747,9280,12592,9072,12310,12716,10734,10606,12259,10508,9309,10339,11295,10550,11406,12789,11363,10245,12329,11875,12554,10525,10640,10266,13432,13160,10353,13040,10929,10456,10516,13397,12424,14737,10826,17789,11302,12725,14307,20719,14744,9881,11144,9945,12271,9864,15231,9732,13989,11630,11176,14355,14968,13984,10572,10867,11410,14093,10333.49231,12075.89286,12788.662898712142,13162.367685312141,13536.072471912144,12949.678975036144,13323.383761636143,13697.088548236143,13110.695051360142,13484.399837960145,13858.104624560145
5,6,TX,Standalone,1,24,24,7,78,3,12,24,7,21,19,14,12,78,3,13358,12980,15434,12709,12154,16457,16563,16514,12825,16489,16386,17402,12284,14298,14316,14386,13438,20022,15956,17758,13892,16376,15846,11797,14259,19720,15401,14087,12807,16016,16713,14442,17329,13588,18297,18680,15234,15077,15325,16031,15511,15067,17115,19771,19032,19145,26061,20138,16603,28053,21177,22814,16265,14713,12228,18756,17574,19823,15639,19191,18396,18619,15097,20553,13688,16158,13133,17455,15652,19888,17834,15340,13168,16193,18283,15234,16481,20456,18596,13978,14467,13685,19153,16726,13491,16948,14735,15485,16376,13867,14271,19590,15403,17697,16849,17428,17902,17425,23908,18220,20247,22134,22071,23717,17138,19617,17734,18203,15013,18938,13743,15082,15849,15454,16525,20728,17755,19759,16337,16545,17826,16518.07692,17176.60714,18444.699925916764,18818.404712516764,19192.109499116763,18605.716002240762,18979.42078884076,19353.12557544076,18766.73207856476,19140.43686516476,19514.14165176476
6,7,NM,Standalone,1,24,24,7,8,15,12,24,7,21,19,14,12,8,15,16722,14398,13818,16259,12838,20075,18436,16517,13779,14491,18039,14316,15731,14092,14587,15875,13909,20869,17798,17416,13353,18020,17733,17634,17654,19003,17113,13259,15085,15785,19164,18149,14330,14403,17979,14943,19400,19202,20381,18726,13899,16676,19755,18952,18882,16823,24511,18620,17201,28990,30939,20648,16332,16964,14470,17569,19230,19027,20273,18362,19679,18059,14752,21901,15351,17017,16510,17396,16407,15642,18767,19227,17495,18021,19097,12723,12897,19323,16256,18428,18739,15472,16913,16918,14243,19540,18611,18610,20010,13497,18248,17810,18705,19075,19205,17724,18273,21896,23836,18302,15947,26334,25196,23136,16609,13755,17120,17712,17479,16930,18206,15346,18005,14864,15794,17053,17292,18862,17281,14913,20044,17525.323080000002,17834.125,19172.23852928445,19545.943315884455,19919.648102484454,19333.254605608454,19706.959392208453,20080.664178808453,19494.270681932452,19867.97546853245,20241.68025513245
7,8,WI,Standalone,1,24,24,7,43,7,14,24,7,21,21,14,14,43,7,16408,13149,14468,15126,14663,17657,13715,14097,19114,15210,18315,16438,14913,13794,19358,16357,17937,21123,13245,17535,16943,14440,19236,15261,18119,18101,17008,15652,17473,15354,18452,19398,14048,18868,18725,18176,15029,18366,20354,14263,14301,19933,16794,19796,16333,19912,27630,17729,20089,22496,28416,20289,13271,19005,15114,20478,17054,17109,20154,18306,20732,19161,21415,20825,17233,21129,20682,17782,17042,21117,17536,17313,17689,14722,20673,19417,16511,15588,18324,15047,14570,20578,20921,20506,18692,16857,20323,18664,15246,21405,21182,19817,17626,22833,23052,23267,20393,17201,27758,18983,23429,26163,27051,20035,20144,20352,18886,23722,21742,26261,21825,17645,23113,18059,23602,17597,21423,19859,21419,16431,19442,17684.04615,19975.82143,21545.188671370124,21918.893457970124,22292.598244570123,21706.204747694122,22079.909534294122,22453.61432089412,21867.22082401812,22240.92561061812,22614.63039721812
8,9,MO,Strip Mall,0,24,26,7,0,0,0,0,7,21,20,14,13,209,76,12969,13395,16863,16453,13267,16100,16294,16361,17988,14035,15656,18436,13545,18397,16033,18381,18115,18503,13357,14993,13996,12200,17894,14231,13400,14842,14181,14529,15400,15706,17098,12911,13444,17842,17891,19190,14045,15000,16827,16893,15194,13596,16679,14138,19118,20525,21524,16537,22468,22325,27991,19843,14257,16780,13820,13950,15863,17642,19358,15898,20189,18037,17933,19024,17790,15222,14025,13781,17208,20141,19056,16183,16189,15397,20292,16863,16279,17927,14413,15623,13697,17700,17467,20113,20989,21387,17810,18380,20586,19868,15195,20904,19926,15523,15281,22077,22132,23659,26435,21543,17894,27056,25583,23530,19991,19330,13628,19464,16756,23135,19986,17528,17936,15805,21180,21268,18437,19880,21273,20963,19166,16571.384619999997,18911.78571,20213.67545802104,20587.38024462104,20961.08503122104,20374.69153434504,20748.396320945038,21122.101107545044,20535.707610669037,20909.412397269043,21283.117183869042
9,10,KS,Strip Mall,0,24,24,7,0,0,0,0,7,21,21,14,14,242,38,10631,9646,8693,9767,12720,13277,13695,12059,10855,12607,11321,13666,12933,9890,10007,13999,13965,10495,10999,11204,12425,13228,14440,10017,11897,13417,12193,12257,10176,13196,11883,12150,13021,13918,11886,10566,13809,11312,12265,14451,12830,10697,10548,13405,11936,16783,17568,13599,14269,16432,18782,14897,12594,14263,9582,12862,13865,15053,13038,13951,11830,14722,12664,14045,15388,14227,12210,13837,11941,15800,11067,11916,11514,10183,12575,10556,14116,16640,12462,12541,12665,15189,15604,11564,11258,15609,12905,14380,14784,15776,16451,12616,13969,11251,13640,16156,15651,15831,18528,12743,13398,19426,23777,19406,10317,12483,10914,13742,12362,17948,16333,14622,15113,15843,15636,12630,12990,14168,11912,15462,14837,12715.984620000001,14133.46429,14997.274393021265,15370.979179621265,15744.683966221264,15158.290469345264,15531.995255945263,15905.700042545262,15319.306545669262,15693.011332269265,16066.716118869264
10,11,TX,Standalone,1,24,24,7,321,11,12,24,7,21,19,14,12,321,11,12713,15065,12310,16159,13718,14471,12733,15297,16536,14729,13527,13462,13532,13692,13697,12158,15647,16808,12818,14968,12149,15768,14629,13031,14083,13939,14399,11212,13900,14900,15258,17100,11786,13259,16051,14396,12693,13950,17961,15291,13075,18142,18149,17545,15193,15188,17861,15586,18233,21300,19441,19696,15810,13132,12034,15812,13447,19929,18095,17392,15720,17690,13697,15843,13784,13926,14546,13634,12194,15720,12162,17039,13933,11751,17932,12356,15281,15042,14303,17484,15968,17295,16282,16352,18112,17765,18885,12650,13459,16441,17373,14800,13833,15468,14792,18753,13637,21097,24442,14480,17005,23945,21633,18609,15999,17169,12214,14979,17753,21089,17918,17087,18586,16709,18423,14951,14901,14520,14532,15937,16441,15101.369230000002,16242.625,17409.56473002545,17783.26951662545,18156.974303225456,17570.580806349455,17944.285592949454,18317.990379549454,17731.596882673453,18105.301669273453,18479.006455873452
